country,sub_item,year,currency,VA1,code,VA2,WAGE1
Argentina,"Electricity, gas and water supply",1995,Argentine peso,5111000000,E,5111000000,2121000000
Argentina,Construction,1995,Argentine peso,13414000000,F,13414000000,4176000000
Argentina,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1995,Argentine peso,41198500000,GH,41198500000,10629000000
Argentina,"Transport, storage and communications",1995,Argentine peso,19059900000,I,19059900000,6836000000
Argentina,"Financial intermediation real estate, renting and business activities",1995,Argentine peso,51339400000,JK,51339400000,8096000000
Argentina,Total Economy,1995,Argentine peso,242334300000,TOT,242334300000,91592000000
Argentina,"Agriculture, hunting, forestry fishing",1996,Argentine peso,15270000000,AB,15269960000,2426000000
Argentina,Mining and quarrying,1996,Argentine peso,5888900000,C,5888910000,831000000
Argentina,Manufacturing,1996,Argentine peso,47723400000,D,47723430000,16876000000
Argentina,"Electricity, gas and water supply",1996,Argentine peso,5232400000,E,5232430000,2201000000
Argentina,Construction,1996,Argentine peso,13526800000,F,13526820000,4203000000
Argentina,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1996,Argentine peso,44541000000,GH,44540960000,10244000000
Argentina,"Transport, storage and communications",1996,Argentine peso,20501400000,I,20501350000,7007000000
Argentina,"Financial intermediation real estate, renting and business activities",1996,Argentine peso,52374900000,JK,52374850000,7976000000
Argentina,Total Economy,1996,Argentine peso,254608100000,TOT,254608100000,90162000000
Argentina,"Agriculture, hunting, forestry fishing",1997,Argentine peso,15293000000,AB,15293020000,3765744651
Argentina,Mining and quarrying,1997,Argentine peso,5632500000,C,5632530000,943443958
Argentina,Manufacturing,1997,Argentine peso,53382100000,D,53382060000,17365635292
Argentina,"Electricity, gas and water supply",1997,Argentine peso,5501700000,E,5501700000,1883056183
Argentina,Construction,1997,Argentine peso,15080300000,F,15080290000,4783260630
Argentina,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1997,Argentine peso,49120500000,GH,49120470000,10863789077
Argentina,"Transport, storage and communications",1997,Argentine peso,22951900000,I,22951900000,7084417334
Argentina,"Financial intermediation real estate, renting and business activities",1997,Argentine peso,54683000000,JK,54683050000,9737622621
Argentina,Total Economy,1997,Argentine peso,273092200000,TOT,273092210000,95547377737.7699
Argentina,Total Economy,1998,Argentine peso,279530200000,TOT,279530200000,100656765018.021
Argentina,Total Economy,1999,Argentine peso,266906200000,TOT,266906250000,101934471439.882
Argentina,Total Economy,2000,Argentine peso,267549600000,TOT,267549580000,101707533798.876
Argentina,Total Economy,2001,Argentine peso,254975200000,TOT,254975160000,99769450267.1985
Argentina,Total Economy,2002,Argentine peso,298641500000,TOT,298641520000,94492961971.297
Argentina,Total Economy,2003,Argentine peso,353373600000,TOT,353373580000,109833287848.292
Argentina,Total Economy,2004,Argentine peso,414374683986.802,TOT,414374683987,135353573932.024
Argentina,Total Economy,2005,Argentine peso,492824695151.208,TOT,492824695151.208,171364662555.41
Argentina,Total Economy,2006,Argentine peso,604792142313.323,TOT,604792142313.323,226062106799.898
Argentina,Total Economy,2007,Argentine peso,746167631795.73,TOT,746167631795.73,288039986130.228
Bolivia,"Agriculture, hunting, forestry fishing",1970,boliviano,2240,AB,2000,403
Bolivia,Mining and quarrying,1970,boliviano,1273,C,1000,544
Bolivia,Manufacturing,1970,boliviano,1790,D,2000,780
Bolivia,"Electricity, gas and water supply",1970,boliviano,167,E,0,44
Bolivia,Construction,1970,boliviano,511,F,1000,227
Bolivia,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1970,boliviano,2182,GH,1000,297
Bolivia,"Transport, storage and communications",1970,boliviano,931,I,1000,322
Bolivia,"Financial intermediation real estate, renting and business activities",1970,boliviano,1267,JK,2000,204
Bolivia,Total Economy,1970,boliviano,12501,TOT,11000,4209
Bolivia,"Agriculture, hunting, forestry fishing",1971,boliviano,2510,AB,3000,452
Bolivia,Mining and quarrying,1971,boliviano,1142,C,1000,664
Bolivia,Manufacturing,1971,boliviano,1967,D,2000,851
Bolivia,"Electricity, gas and water supply",1971,boliviano,181,E,0,48
Bolivia,Construction,1971,boliviano,581,F,1000,273
Bolivia,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1971,boliviano,2413,GH,2000,348
Bolivia,"Transport, storage and communications",1971,boliviano,1092,I,1000,384
Bolivia,"Financial intermediation real estate, renting and business activities",1971,boliviano,1384,JK,2000,237
Bolivia,Total Economy,1971,boliviano,13686,TOT,14000,4872
Bolivia,"Agriculture, hunting, forestry fishing",1972,boliviano,3099,AB,3000,562
Bolivia,Mining and quarrying,1972,boliviano,2155,C,2000,958
Bolivia,Manufacturing,1972,boliviano,2403,D,2000,1012
Bolivia,"Electricity, gas and water supply",1972,boliviano,220,E,0,60
Bolivia,Construction,1972,boliviano,701,F,1000,308
Bolivia,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1972,boliviano,2803,GH,2000,391
Bolivia,"Transport, storage and communications",1972,boliviano,1416,I,1000,506
Bolivia,"Financial intermediation real estate, renting and business activities",1972,boliviano,1647,JK,2000,285
Bolivia,Total Economy,1972,boliviano,17444,TOT,15000,6023
Bolivia,"Agriculture, hunting, forestry fishing",1973,boliviano,4738,AB,5000,862
Bolivia,Mining and quarrying,1973,boliviano,3981,C,4000,1002
Bolivia,Manufacturing,1973,boliviano,3625,D,3000,1459
Bolivia,"Electricity, gas and water supply",1973,boliviano,306,E,0,74
Bolivia,Construction,1973,boliviano,1129,F,1000,485
Bolivia,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1973,boliviano,4018,GH,3000,581
Bolivia,"Transport, storage and communications",1973,boliviano,1850,I,2000,672
Bolivia,"Financial intermediation real estate, renting and business activities",1973,boliviano,2553,JK,3000,416
Bolivia,Total Economy,1973,boliviano,26372,TOT,24000,8266
Bolivia,"Agriculture, hunting, forestry fishing",1974,boliviano,8265,AB,9000,1560
Bolivia,Mining and quarrying,1974,boliviano,7567,C,8000,1567
Bolivia,Manufacturing,1974,boliviano,5761,D,5000,2437
Bolivia,"Electricity, gas and water supply",1974,boliviano,372,E,0,101
Bolivia,Construction,1974,boliviano,1565,F,2000,657
Bolivia,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1974,boliviano,6862,GH,4000,979
Bolivia,"Transport, storage and communications",1974,boliviano,2783,I,2000,1058
Bolivia,"Financial intermediation real estate, renting and business activities",1974,boliviano,3924,JK,5000,700
Bolivia,Total Economy,1974,boliviano,43835,TOT,40000,13622
Bolivia,"Agriculture, hunting, forestry fishing",1975,boliviano,9133,AB,10000,1749
Bolivia,Mining and quarrying,1975,boliviano,5529,C,6000,1547
Bolivia,Manufacturing,1975,boliviano,6603,D,6000,2780
Bolivia,"Electricity, gas and water supply",1975,boliviano,469,E,0,130
Bolivia,Construction,1975,boliviano,2017,F,2000,847
Bolivia,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1975,boliviano,9406,GH,6000,1241
Bolivia,"Transport, storage and communications",1975,boliviano,3620,I,3000,1416
Bolivia,"Financial intermediation real estate, renting and business activities",1975,boliviano,4681,JK,6000,870
Bolivia,Total Economy,1975,boliviano,49889,TOT,46000,16364
Bolivia,"Agriculture, hunting, forestry fishing",1976,boliviano,10264,AB,11000,1967
Bolivia,Mining and quarrying,1976,boliviano,6366,C,7000,1760
Bolivia,Manufacturing,1976,boliviano,7822,D,7000,3079
Bolivia,"Electricity, gas and water supply",1976,boliviano,586,E,0,154
Bolivia,Construction,1976,boliviano,2373,F,3000,997
Bolivia,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1976,boliviano,10190,GH,7000,1456
Bolivia,"Transport, storage and communications",1976,boliviano,4350,I,4000,1682
Bolivia,"Financial intermediation real estate, renting and business activities",1976,boliviano,5521,JK,8000,1131
Bolivia,Total Economy,1976,boliviano,57335,TOT,54000,19128
Bolivia,"Agriculture, hunting, forestry fishing",1977,boliviano,11576,AB,13000,2228
Bolivia,Mining and quarrying,1977,boliviano,7235,C,9000,1988
Bolivia,Manufacturing,1977,boliviano,9066,D,8000,3500
Bolivia,"Electricity, gas and water supply",1977,boliviano,732,E,0,198
Bolivia,Construction,1977,boliviano,2939,F,4000,1205
Bolivia,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1977,boliviano,11264,GH,7000,1584
Bolivia,"Transport, storage and communications",1977,boliviano,5459,I,4000,2116
Bolivia,"Financial intermediation real estate, renting and business activities",1977,boliviano,6482,JK,9000,1533
Bolivia,Total Economy,1977,boliviano,66307,TOT,62000,22577
Bolivia,"Agriculture, hunting, forestry fishing",1978,boliviano,13909,AB,14000,2754
Bolivia,Mining and quarrying,1978,boliviano,11024,C,11000,2433
Bolivia,Manufacturing,1978,boliviano,9314,D,9000,3247
Bolivia,"Electricity, gas and water supply",1978,boliviano,558,E,1000,248
Bolivia,Construction,1978,boliviano,3989,F,4000,1541
Bolivia,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1978,boliviano,8662,GH,9000,1220
Bolivia,"Transport, storage and communications",1978,boliviano,5376,I,5000,2566
Bolivia,"Financial intermediation real estate, renting and business activities",1978,boliviano,10636,JK,11000,1916
Bolivia,Total Economy,1978,boliviano,73926,TOT,74000,24561
Bolivia,"Agriculture, hunting, forestry fishing",1979,boliviano,16283,AB,16000,3213
Bolivia,Mining and quarrying,1979,boliviano,12363,C,12000,3447
Bolivia,Manufacturing,1979,boliviano,11774,D,12000,4292
Bolivia,"Electricity, gas and water supply",1979,boliviano,628,E,1000,286
Bolivia,Construction,1979,boliviano,4623,F,5000,1557
Bolivia,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1979,boliviano,10545,GH,11000,1468
Bolivia,"Transport, storage and communications",1979,boliviano,7437,I,7000,3245
Bolivia,"Financial intermediation real estate, renting and business activities",1979,boliviano,12392,JK,12000,2460
Bolivia,Total Economy,1979,boliviano,89001,TOT,89000,30456
Bolivia,"Agriculture, hunting, forestry fishing",1980,boliviano,22563,AB,23000,4463
Bolivia,Mining and quarrying,1980,boliviano,19407,C,19000,4732
Bolivia,Manufacturing,1980,boliviano,17974,D,18000,5774
Bolivia,"Electricity, gas and water supply",1980,boliviano,806,E,1000,389
Bolivia,Construction,1980,boliviano,4521,F,5000,2068
Bolivia,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1980,boliviano,13261,GH,13000,1841
Bolivia,"Transport, storage and communications",1980,boliviano,7321,I,7000,3912
Bolivia,"Financial intermediation real estate, renting and business activities",1980,boliviano,17248,JK,17000,3353
Bolivia,Total Economy,1980,boliviano,121590,TOT,122000,41864
Bolivia,"Agriculture, hunting, forestry fishing",1981,boliviano,28554,AB,29000,5597
Bolivia,Mining and quarrying,1981,boliviano,20457,C,20000,5093
Bolivia,Manufacturing,1981,boliviano,24466,D,24000,7432
Bolivia,"Electricity, gas and water supply",1981,boliviano,1402,E,1000,458
Bolivia,Construction,1981,boliviano,5915,F,6000,2897
Bolivia,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1981,boliviano,20013,GH,20000,2745
Bolivia,"Transport, storage and communications",1981,boliviano,8739,I,9000,4507
Bolivia,"Financial intermediation real estate, renting and business activities",1981,boliviano,22370,JK,22000,3769
Bolivia,Total Economy,1981,boliviano,152995,TOT,151000,49794
Bolivia,"Agriculture, hunting, forestry fishing",1982,boliviano,78274,AB,78000,15523
Bolivia,Mining and quarrying,1982,boliviano,97244,C,97000,22242
Bolivia,Manufacturing,1982,boliviano,33420,D,33000,13623
Bolivia,"Electricity, gas and water supply",1982,boliviano,1639,E,2000,870
Bolivia,Construction,1982,boliviano,11831,F,12000,7141
Bolivia,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1982,boliviano,49169,GH,49000,6761
Bolivia,"Transport, storage and communications",1982,boliviano,31211,I,31000,12842
Bolivia,"Financial intermediation real estate, renting and business activities",1982,boliviano,45795,JK,46000,7158
Bolivia,Total Economy,1982,boliviano,402232,TOT,402000,126452
Bolivia,"Agriculture, hunting, forestry fishing",1983,boliviano,370725,AB,370000,70654
Bolivia,Mining and quarrying,1983,boliviano,214556,C,215000,91427
Bolivia,Manufacturing,1983,boliviano,141688,D,142000,51678
Bolivia,"Electricity, gas and water supply",1983,boliviano,5377,E,5000,2940
Bolivia,Construction,1983,boliviano,54450,F,54000,12525
Bolivia,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1983,boliviano,254536,GH,255000,35509
Bolivia,"Transport, storage and communications",1983,boliviano,81361,I,81000,39161
Bolivia,"Financial intermediation real estate, renting and business activities",1983,boliviano,141535,JK,142000,21538
Bolivia,Total Economy,1983,boliviano,1471347,TOT,1472000,464097
Bolivia,"Agriculture, hunting, forestry fishing",1984,boliviano,7027000,AB,7027000,1077000
Bolivia,Mining and quarrying,1984,boliviano,2753000,C,2753000,2212000
Bolivia,Manufacturing,1984,boliviano,2052000,D,2052000,1230000
Bolivia,"Electricity, gas and water supply",1984,boliviano,124000,E,124000,111000
Bolivia,Construction,1984,boliviano,1181000,F,1181000,471000
Bolivia,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1984,boliviano,3203000,GH,3203000,482000
Bolivia,"Transport, storage and communications",1984,boliviano,1289000,I,1289000,1046000
Bolivia,"Financial intermediation real estate, renting and business activities",1984,boliviano,2309000,JK,2309000,749000
Bolivia,Total Economy,1984,boliviano,23349000,TOT,23349000,10013000
Bolivia,"Agriculture, hunting, forestry fishing",1985,boliviano,832528000,AB,832528000,128384000
Bolivia,Mining and quarrying,1985,boliviano,337557000,C,337557000,197484000
Bolivia,Manufacturing,1985,boliviano,343156000,D,343156000,85911000
Bolivia,"Electricity, gas and water supply",1985,boliviano,25665000,E,25665000,9228000
Bolivia,Construction,1985,boliviano,121481000,F,121481000,52040000
Bolivia,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1985,boliviano,310571000,GH,310571000,47827000
Bolivia,"Transport, storage and communications",1985,boliviano,304425000,I,304425000,106520000
Bolivia,"Financial intermediation real estate, renting and business activities",1985,boliviano,303562000,JK,303562000,58386000
Bolivia,Total Economy,1985,boliviano,2903599000,TOT,2903599000,926100000
Bolivia,"Agriculture, hunting, forestry fishing",1986,boliviano,2450257000,AB,2450257000,376942000
Bolivia,Mining and quarrying,1986,boliviano,890331000,C,890331000,114910000
Bolivia,Manufacturing,1986,boliviano,1184356000,D,1184356000,240408000
Bolivia,"Electricity, gas and water supply",1986,boliviano,96333000,E,96333000,28208000
Bolivia,Construction,1986,boliviano,254744000,F,254744000,58590000
Bolivia,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1986,boliviano,970203000,GH,970203000,138593000
Bolivia,"Transport, storage and communications",1986,boliviano,1056002000,I,1056002000,309638000
Bolivia,"Financial intermediation real estate, renting and business activities",1986,boliviano,777652000,JK,777652000,126114000
Bolivia,Total Economy,1986,boliviano,8849238000,TOT,8849238000,2153247000
Bolivia,"Agriculture, hunting, forestry fishing",1988,boliviano,1700287000,AB,1700287000,318659000
Bolivia,Mining and quarrying,1988,boliviano,940854000,C,940854000,198674000
Bolivia,Manufacturing,1988,boliviano,1926415000,D,1926415000,646319000
Bolivia,"Electricity, gas and water supply",1988,boliviano,120318000,E,120318000,31128000
Bolivia,Construction,1988,boliviano,378779000,F,378779000,205849000
Bolivia,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1988,boliviano,1290651000,GH,1290651000,424788000
Bolivia,"Transport, storage and communications",1988,boliviano,862683000,I,862683000,447949000
Bolivia,"Financial intermediation real estate, renting and business activities",1988,boliviano,1277674000,JK,1277674000,181804000
Bolivia,Total Economy,1988,boliviano,10050262000,TOT,10050262000,3792698000
Bolivia,"Agriculture, hunting, forestry fishing",1989,boliviano,1937489000,AB,1937489000,361572000
Bolivia,Mining and quarrying,1989,boliviano,1265049000,C,1265049000,252498000
Bolivia,Manufacturing,1989,boliviano,2156115999,D,2156116000,752821000
Bolivia,"Electricity, gas and water supply",1989,boliviano,171250000,E,171250000,41394000
Bolivia,Construction,1989,boliviano,401206000,F,401206000,208794000
Bolivia,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1989,boliviano,1548588000,GH,1548588000,491905000
Bolivia,"Transport, storage and communications",1989,boliviano,1074516999,I,1074516999,557234000
Bolivia,"Financial intermediation real estate, renting and business activities",1989,boliviano,1370255000,JK,1370255000,238109000
Bolivia,Total Economy,1989,boliviano,11824185000,TOT,11824185000,4566011000
Bolivia,"Agriculture, hunting, forestry fishing",1990,boliviano,2371078000,AB,2371078000,352701000
Bolivia,Mining and quarrying,1990,boliviano,1581913000,C,1581913000,291728999.9
Bolivia,Manufacturing,1990,boliviano,2619624000,D,2619624000,885623000
Bolivia,"Electricity, gas and water supply",1990,boliviano,248417000,E,248417000,55802000
Bolivia,Construction,1990,boliviano,474022000,F,474022000,240227000
Bolivia,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1990,boliviano,1874961000,GH,1874961000,599834000
Bolivia,"Transport, storage and communications",1990,boliviano,1439093000,I,1439093000,708172000
Bolivia,"Financial intermediation real estate, renting and business activities",1990,boliviano,1569365000,JK,1569365000,287769000
Bolivia,Total Economy,1990,boliviano,14416467000,TOT,14416467000,5386132000
Bolivia,"Agriculture, hunting, forestry fishing",1991,boliviano,2973533000,AB,2973533000,437777000
Bolivia,Mining and quarrying,1991,boliviano,1494949999,C,1494950000,343978999.9
Bolivia,Manufacturing,1991,boliviano,3392233999,D,3392234000,1111967000
Bolivia,"Electricity, gas and water supply",1991,boliviano,379392000,E,379392000,80929000
Bolivia,Construction,1991,boliviano,589049000,F,589049000,266759000
Bolivia,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1991,boliviano,2319732000,GH,2319732000,762691000
Bolivia,"Transport, storage and communications",1991,boliviano,1894537000,I,1894537000,974806000
Bolivia,"Financial intermediation real estate, renting and business activities",1991,boliviano,1967111000,JK,1967111000,356688000
Bolivia,Total Economy,1991,boliviano,17746490000,TOT,17746490000,6764066000
Bolivia,"Agriculture, hunting, forestry fishing",1992,boliviano,3171000000,AB,3171000000,471000000
Bolivia,Mining and quarrying,1992,boliviano,1602000000,C,1602000000,415000000
Bolivia,Manufacturing,1992,boliviano,3774000000,D,3774000000,1268000000
Bolivia,"Electricity, gas and water supply",1992,boliviano,580000000,E,580000000,98000000
Bolivia,Construction,1992,boliviano,684000000,F,684000000,328000000
Bolivia,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1992,boliviano,2545000000,GH,2545000000,812000000
Bolivia,"Transport, storage and communications",1992,boliviano,2315000000,I,2315000000,1186000000
Bolivia,"Financial intermediation real estate, renting and business activities",1992,boliviano,2274000000,JK,2274000000,445000000
Bolivia,Total Economy,1992,boliviano,20272000000,TOT,20272000000,7983000000
Bolivia,Total Economy,1993,boliviano,22556000000,TOT,22556000000,8821000000
Bolivia,Total Economy,1994,boliviano,24616000000,TOT,25343000000,9605000000
Bolivia,Total Economy,1995,boliviano,28370000000,TOT,29249000000,10643000000
Bolivia,Total Economy,1996,boliviano,32510917761.4086,TOT,33651587761.4086,12883081000
Bolivia,Total Economy,1997,boliviano,36034246915.0874,TOT,36034246920,13859181000
Bolivia,Total Economy,1998,boliviano,40296698102.9141,TOT,40296698100,15277587000
Bolivia,Total Economy,1999,boliviano,42265208808.7648,TOT,42265208810,16683579000
Bolivia,Total Economy,2000,boliviano,44863463108.7833,TOT,44863463110,18727396000
Bolivia,Total Economy,2001,boliviano,46862233294.4617,TOT,46862233290,19375172000
Bolivia,Total Economy,2002,boliviano,49287660308.4887,TOT,49287660310,19945971789.3822
Bolivia,Total Economy,2003,boliviano,53911381907.1403,TOT,53911381910,21374569727.3691
Bolivia,Total Economy,2004,boliviano,60332134579.5528,TOT,60332134580,22681505321.8435
Bolivia,Total Economy,2005,boliviano,63174264089,TOT,63174264090,23725000000
Bolivia,Total Economy,2006,boliviano,72318241551,TOT,72318241550,25002200000
Bolivia,Total Economy,2007,boliviano,80081492056,TOT,80081492060,27803600000
Bolivia,Total Economy,2008,boliviano,93570064992.55431,TOT,97369800000,30187700000
Bolivia,Total Economy,2009,boliviano,102116000000,TOT,102116000000,33810171170.048
Bolivia,Total Economy,2010,boliviano,115934433333.342,TOT,115934433333.342,36477049851.5991
Brazil,"Agriculture, hunting, forestry fishing",1992,real,44000000,AB,44000000,8000000
Brazil,Mining and quarrying,1992,real,9000000,C,9000000,2000000
Brazil,Manufacturing,1992,real,149000000,D,149000000,47000000
Brazil,"Electricity, gas and water supply",1992,real,17000000,E,17000000,9000000
Brazil,Construction,1992,real,43000000,F,43000000,10000000
Brazil,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1992,real,52000000,GH,52000000,23000000
Brazil,"Transport, storage and communications",1992,real,30000000,I,30000000,14000000
Brazil,"Financial intermediation real estate, renting and business activities",1992,real,226000000,JK,226000000,58000000
Brazil,Total Economy,1992,real,700000000,TOT,700000000,279000000
Brazil,"Agriculture, hunting, forestry fishing",1993,real,956000000,AB,956000000,196000000
Brazil,Mining and quarrying,1993,real,148000000,C,148000000,36000000
Brazil,Manufacturing,1993,real,3672000000,D,3672000000,1006000000
Brazil,"Electricity, gas and water supply",1993,real,393000000,E,393000000,248000000
Brazil,Construction,1993,real,1044000000,F,1044000000,205000000
Brazil,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1993,real,1172000000,GH,1172000000,496000000
Brazil,"Transport, storage and communications",1993,real,682000000,I,682000000,325000000
Brazil,"Financial intermediation real estate, renting and business activities",1993,real,5559000000,JK,5559000000,1460000000
Brazil,Total Economy,1993,real,16552000000,TOT,16552000000,6363000000
Brazil,"Agriculture, hunting, forestry fishing",1994,real,30458000000,AB,30458000000,4251000000
Brazil,Mining and quarrying,1994,real,3191000000,C,3191000000,793000000
Brazil,Manufacturing,1994,real,82836000000,D,82836000000,22415000000
Brazil,"Electricity, gas and water supply",1994,real,9369000000,E,9369000000,5262000000
Brazil,Construction,1994,real,28296000000,F,28296000000,4244000000
Brazil,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1994,real,29261000000,GH,29261000000,11103000000
Brazil,"Transport, storage and communications",1994,real,15329000000,I,15329000000,7044000000
Brazil,"Financial intermediation real estate, renting and business activities",1994,real,82093000000,JK,82092000000,25000000000
Brazil,Total Economy,1994,real,352827000000,TOT,352827000000,140079000000
Brazil,"Agriculture, hunting, forestry fishing",1995,real,51493000000,AB,51493000000,7094000000
Brazil,Mining and quarrying,1995,real,4944000000,C,4945000000,1296000000
Brazil,Manufacturing,1995,real,136739000000,D,136739000000,39316000000
Brazil,"Electricity, gas and water supply",1995,real,15296000000,E,15295000000,7784000000
Brazil,Construction,1995,real,52708000000,F,52708000000,6819000000
Brazil,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1995,real,51078000000,GH,51078000000,19446000000
Brazil,"Transport, storage and communications",1995,real,28313000000,I,28313000000,12001000000
Brazil,"Financial intermediation real estate, renting and business activities",1995,real,124811000000,JK,124811000000,35916000000
Brazil,Total Economy,1995,real,608388000000,TOT,608388000000,247277000000
Brazil,"Agriculture, hunting, forestry fishing",1996,real,57811000000,AB,57811000000,8391000000
Brazil,Mining and quarrying,1996,real,6617000000,C,6617000000,1546000000
Brazil,Manufacturing,1996,real,149343000000,D,149343000000,47013000000
Brazil,"Electricity, gas and water supply",1996,real,19080000000,E,19079000000,8926000000
Brazil,Construction,1996,real,66143000000,F,66143000000,8176000000
Brazil,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1996,real,54156000000,GH,54156000000,24008000000
Brazil,"Transport, storage and communications",1996,real,34113000000,I,34113000000,15263000000
Brazil,"Financial intermediation real estate, renting and business activities",1996,real,171335000000,JK,171335000000,44568000000
Brazil,Total Economy,1996,real,732026000000,TOT,732026000000,300208000000
Brazil,"Agriculture, hunting, forestry fishing",1997,real,62109000000,AB,62109000000,8909000000
Brazil,Mining and quarrying,1997,real,7119000000,C,7119000000,1626000000
Brazil,Manufacturing,1997,real,168803000000,D,168802000000,50331000000
Brazil,"Electricity, gas and water supply",1997,real,21481000000,E,21481000000,10560000000
Brazil,Construction,1997,real,77359000000,F,77359000000,9038000000
Brazil,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1997,real,59326000000,GH,59326000000,27064000000
Brazil,"Transport, storage and communications",1997,real,40614000000,I,40613000000,17020000000
Brazil,"Financial intermediation real estate, renting and business activities",1997,real,197406000000,JK,197405000000,46624000000
Brazil,Total Economy,1997,real,820124000000,TOT,820124000000,326145000000
Brazil,"Agriculture, hunting, forestry fishing",1998,real,67550000000,AB,67550000000,9088000000
Brazil,Mining and quarrying,1998,real,5150000000,C,5150000000,1742000000
Brazil,Manufacturing,1998,real,169670000000,D,169670000000,51608000000
Brazil,"Electricity, gas and water supply",1998,real,26141000000,E,26141000000,10256000000
Brazil,Construction,1998,real,83180000000,F,83181000000,10467000000
Brazil,"Wholesale retail trade, repair of motor vehicles, motorcycles, etc. hotels and restaurants",1998,real,58179000000,GH,58179000000,29681000000
Brazil,"Transport, storage and communications",1998,real,45689000000,I,45689000000,20414000000
Brazil,"Financial intermediation real estate, renting and business activities",1998,real,210349000000,JK,210349000000,50202000000
Brazil,Total Economy,1998,real,862793000000,TOT,862793000000,355272000000
